City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Felipe Carrillo Puerto,MX,80.65,clear sky,19.5833,-88.05,Hotel La Ceiba
557,Bouna,CI,74.68,overcast clouds,9.2667,-3.0,Hôtel lababa
560,Sambava,MG,73.69,clear sky,-14.2667,50.1667,Melrose
564,Borba,BR,74.23,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
567,Sao Raimundo Nonato,BR,76.71,broken clouds,-9.0153,-42.6994,Real Hotel
568,Bhuban,IN,82.11,overcast clouds,20.8833,85.8333,Prasanta Sahoo
570,Hambantota,LK,82.74,moderate rain,6.1241,81.1185,Bungalow 63
571,Bougouni,ML,82.74,overcast clouds,11.417,-7.479,Non Stop
576,Dabeiba,CO,76.32,overcast clouds,7.0017,-76.2672,Hotel Amerindia
578,Tshikapa,CD,71.35,scattered clouds,-6.4167,20.8,Tatem beach
579,Sarh,TD,84.11,clear sky,9.1429,18.3923,Domicile 1sur le goudron
582,Nioro,GM,78.84,broken clouds,13.35,-15.75,
588,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
591,Lamu,KE,79.56,light rain,-2.2717,40.902,Lamu House
592,Zharkent,KZ,72.39,clear sky,44.1628,80.0,гостиница Satti
595,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
596,Hurghada,EG,73.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
601,Mapiripan,CO,74.26,overcast clouds,2.8892,-72.1256,Monserrate
602,Bani,DO,79.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
604,Macapa,BR,80.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
605,Loandjili,CG,77.11,mist,-4.7561,11.8578,Résidence ARCHANGE
606,Upata,VE,71.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
610,Gerash,IR,71.74,clear sky,27.6652,54.1371,Sa'adat House Gerash
611,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
615,Grand-Lahou,CI,79.14,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
618,Itaituba,BR,74.82,overcast clouds,-4.2761,-55.9836,Hotel Campos
621,Vilhena,BR,71.13,scattered clouds,-12.7406,-60.1458,Hotel Mirage
624,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
626,Pauini,BR,72.99,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
