City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Artigas,UY,-30.4,-56.4667,60.3,89,61,4.85,broken clouds
252,Priyutnoye,RU,46.1011,43.5072,47.62,77,100,5.95,overcast clouds
253,Sechura,PE,-5.5569,-80.8222,69.39,74,19,19.37,few clouds
254,Porto Walter,BR,-8.2686,-72.7439,78.78,68,82,0.56,broken clouds
255,Diffa,NE,13.3154,12.6113,88.63,26,83,3.51,broken clouds
256,Qaqortoq,GL,60.7167,-46.0333,35.17,89,90,2.68,overcast clouds
257,Nekhayevskiy,RU,50.4106,41.7561,46.38,54,4,2.37,clear sky
258,Kant,IN,27.8,79.8,84.81,36,0,10.38,clear sky
259,Ayagoz,KZ,47.9714,80.4392,43.9,34,7,21.05,clear sky
260,Lagos,NG,6.5833,3.75,80.92,94,45,4.03,light rain
261,Tazovskiy,RU,67.4667,78.7,33.37,99,100,12.93,overcast clouds
262,Santa Comba,ES,43.0331,-8.8093,57.02,60,91,1.83,overcast clouds
263,Camana,PE,-16.6228,-72.7111,66.15,88,9,11.79,clear sky
264,Den Helder,NL,52.9599,4.7593,49.98,81,20,9.22,few clouds
265,Krasnoselkup,RU,65.7,82.4667,29.68,96,98,13.85,overcast clouds
266,Sovetskiy,RU,61.3614,63.5842,45.75,69,40,6.08,scattered clouds
267,Maldonado,UY,-34.6667,-54.9167,58.39,86,18,5.64,few clouds
268,Bandarbeyla,SO,9.4942,50.8122,82.17,84,61,7.43,broken clouds
269,Buta,CD,2.7858,24.73,69.13,97,96,2.46,light rain
270,Pitimbu,BR,-7.4706,-34.8086,75.79,80,100,11.56,overcast clouds
271,Narsaq,GL,60.9167,-46.05,50.22,85,72,2.66,broken clouds
272,Trinidad,BO,-14.8333,-64.9,72.91,76,85,3.58,overcast clouds
273,Binga,ZW,-17.6203,27.3414,67.3,71,3,2.95,clear sky
274,Lubao,PH,14.9167,120.55,89.31,53,72,8.72,broken clouds
275,Goderich,CA,43.7501,-81.7165,59.32,26,98,12.66,overcast clouds
276,Skala Fourkas,GR,39.9998,23.3841,57.54,67,15,5.37,few clouds
277,Atar,MR,20.5169,-13.0499,90.23,21,100,4.65,overcast clouds
278,Magaria,NE,12.9983,8.9099,86.68,34,14,1.63,few clouds
279,Iquique,CL,-20.2208,-70.1431,64.44,77,39,4.9,scattered clouds
280,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.35,86,4,1.83,clear sky
281,Vawkavysk,BY,53.1561,24.4513,37.76,80,93,8.08,overcast clouds
282,Awbari,LY,26.5921,12.7805,68.07,20,0,4.43,clear sky
283,Nisia Floresta,BR,-6.0911,-35.2086,79.61,88,100,9.24,light rain
284,Mayumba,GA,-3.432,10.6554,76.26,92,4,5.61,clear sky
285,Chiredzi,ZW,-21.05,31.6667,66.49,66,38,2.46,scattered clouds
286,Havoysund,NO,70.9963,24.6622,32.23,79,100,18.43,light snow
287,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,82,0,12.66,clear sky
288,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,75.0,79,69,1.32,broken clouds
289,Qorveh,IR,35.1664,47.8045,40.08,65,4,3.8,clear sky
290,Zastron,ZA,-30.3023,27.084,43.65,83,47,1.1,scattered clouds
291,Artyshta,RU,54.1222,86.2909,38.8,62,99,0.65,overcast clouds
292,Paamiut,GL,61.994,-49.6678,31.51,92,99,18.21,overcast clouds
293,Sturgeon Falls,CA,46.3646,-79.9326,64.36,59,26,5.06,scattered clouds
294,Tocopilla,CL,-22.092,-70.1979,63.77,64,0,5.06,clear sky
295,Somerset East,ZA,-32.7217,25.588,49.12,86,2,2.59,clear sky
296,Terrak,NO,65.087,12.3715,40.87,99,100,8.1,light rain
297,Brae,GB,60.3964,-1.353,47.23,90,100,20.65,overcast clouds
298,Srivardhan,IN,18.0333,73.0167,81.16,82,30,8.41,scattered clouds
299,Alibag,IN,18.6411,72.8792,84.27,79,100,8.77,overcast clouds
300,Sabha,LY,27.0377,14.4283,68.88,22,0,10.27,clear sky
301,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,83,96,1.81,overcast clouds
302,Amalfi,CO,6.9102,-75.0776,63.09,98,88,1.05,overcast clouds
303,Caraballeda,VE,10.6112,-66.8522,78.87,89,75,6.91,broken clouds
304,Willowmore,ZA,-33.2926,23.4895,48.58,72,100,0.07,overcast clouds
305,Melbu,NO,68.5044,14.8297,33.62,93,100,4.61,overcast clouds
306,Urucara,BR,-2.5364,-57.76,74.21,98,100,1.21,overcast clouds
307,Beira,MZ,-19.8436,34.8389,68.09,94,0,3.44,clear sky
308,Malpe,IN,13.35,74.7167,83.5,80,100,5.06,moderate rain
309,Grand Gaube,MU,-20.0064,57.6608,72.37,80,0,1.99,clear sky
310,Anloga,GH,5.7947,0.8973,82.54,81,81,12.39,broken clouds
311,Ekibastuz,KZ,51.6667,75.3667,51.46,35,2,2.35,clear sky
312,Pizarro,CO,4.9533,-77.366,80.28,86,99,5.79,light rain
313,Marzuq,YE,14.4,46.4667,73.99,52,1,3.87,clear sky
314,Isoka,ZM,-10.1606,32.6335,58.42,97,100,1.88,overcast clouds
315,Sept-Iles,CA,50.2001,-66.3821,43.32,49,20,2.3,few clouds
316,Cartagena Del Chaira,CO,1.3349,-74.8429,72.7,99,100,2.55,overcast clouds
317,Bucak,TR,37.4592,30.595,50.52,58,74,3.24,broken clouds
318,Mezhdurechenskiy,RU,59.6,65.9333,47.43,71,97,5.32,overcast clouds
319,General Pico,AR,-35.6566,-63.7568,65.43,58,100,3.62,overcast clouds
320,Kiruna,SE,67.8557,20.2251,27.52,80,20,10.36,few clouds
321,Monrovia,LR,6.3005,-10.7969,78.39,85,100,6.42,overcast clouds
322,Bom Jesus,BR,-9.0744,-44.3586,69.96,44,65,1.32,broken clouds
323,Mugumu,TZ,-1.85,34.7,60.66,93,100,4.03,overcast clouds
324,Saint-Georges,GD,12.0564,-61.7485,80.28,83,40,17.27,scattered clouds
325,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,61,0,13.8,clear sky
326,Araouane,ML,18.9048,-3.5265,81.03,7,0,11.18,clear sky
327,Kapoeta,SS,4.7717,33.5903,76.84,66,51,2.13,light rain
328,Saint-Pierre,RE,-21.3393,55.4781,70.92,73,0,3.44,clear sky
329,Nicoya,CR,10.1483,-85.452,80.01,84,68,2.55,broken clouds
330,Dhidhdhoo,MV,6.8833,73.1,84.99,69,100,17.9,overcast clouds
331,Winneba,GH,5.3511,-0.6231,79.56,87,100,7.0,light rain
332,Batticaloa,LK,7.7102,81.6924,82.53,75,69,4.83,broken clouds
333,Jalu,LY,29.0331,21.5482,68.54,32,0,10.47,clear sky
334,Sao Filipe,CV,14.8961,-24.4956,71.47,79,2,7.65,clear sky
335,Bell Ville,AR,-32.6259,-62.6887,63.09,67,93,7.85,overcast clouds
336,Benghazi,LY,32.1167,20.0667,63.75,73,0,7.94,clear sky
337,Chapais,CA,49.7834,-74.8492,55.18,84,13,3.15,few clouds
338,Nuuk,GL,64.1835,-51.7216,30.81,93,100,12.66,overcast clouds
